Fecha,Producto,Cantidad,Precio Unitario,Total Venta
1/17/2023,Electrónic,7,200,1400
9/1/2023,Electrónic,8,200,1600
7/29/2023,Juguetes,3,30,90
10/4/2023,Alimentos,4,10,40
2/28/2023,Electrónic,6,200,1200
3/11/2023,Ropa,9,50,450
11/3/2023,Juguetes,4,30,120
11/8/2023,Ropa,9,50,450
3/22/2023,Ropa,10,50,500
9/29/2023,Ropa,1,50,50
9/12/2023,Alimentos,2,10,20
1/25/2023,Juguetes,3,30,90
11/21/2023,Alimentos,3,10,30
5/27/2023,Alimentos,2,10,20
1/19/2023,Juguetes,10,30,300
12/5/2023,Libros,4,20,80
6/5/2023,Alimentos,6,10,60
5/19/2023,Libros,10,20,200
1/20/2023,Alimentos,9,10,90
6/18/2023,Electrónic,9,200,1800
11/21/2023,Alimentos,1,10,10
5/1/2023,Electrónic,10,200,2000
2/10/2023,Juguetes,1,30,30
7/27/2023,Libros,3,20,60
9/13/2023,Alimentos,8,10,80
9/11/2023,Juguetes,6,30,180
12/10/2023,Libros,1,20,20
7/23/2023,Libros,1,20,20
1/17/2023,Libros,9,20,180
5/19/2023,Ropa,10,50,500
5/9/2023,Juguetes,8,30,240
2/21/2023,Juguetes,8,30,240
6/1/2023,Alimentos,1,10,10
4/2/2023,Ropa,6,50,300
8/21/2023,Libros,3,20,60
9/12/2023,Juguetes,1,30,30
2/17/2023,Libros,6,20,120
11/19/2023,Electrónic,4,200,800
6/28/2023,Electrónic,8,200,1600
3/20/2023,Juguetes,2,30,60
6/1/2023,Juguetes,4,30,120
11/19/2023,Electrónic,10,200,2000
10/18/2023,Ropa,4,50,200
4/11/2023,Alimentos,6,10,60
10/20/2023,Alimentos,4,10,40
11/20/2023,Juguetes,8,30,240
5/4/2023,Alimentos,6,10,60
8/8/2023,Electrónic,10,200,2000
1/7/2023,Libros,4,20,80
12/5/2023,Electrónic,1,200,200
3/18/2023,Libros,7,20,140
6/7/2023,Electrónic,2,200,400
5/17/2023,Juguetes,6,30,180
8/20/2023,Libros,4,20,80
6/1/2023,Ropa,4,50,200
12/23/2023,Ropa,5,50,250
11/11/2023,Alimentos,1,10,10
9/28/2023,Libros,8,20,160
8/4/2023,Alimentos,9,10,90
2/14/2023,Libros,4,20,80
8/12/2023,Juguetes,6,30,180
10/9/2023,Juguetes,6,30,180
11/8/2023,Libros,5,20,100
8/24/2023,Ropa,3,50,150
10/17/2023,Juguetes,9,30,270
7/26/2023,Libros,10,20,200
8/13/2023,Electrónic,10,200,2000
10/18/2023,Libros,3,20,60
8/18/2023,Libros,8,20,160
9/17/2023,Electrónic,6,200,1200
10/14/2023,Ropa,9,50,450
11/7/2023,Ropa,7,50,350
3/6/2023,Juguetes,2,30,60
7/31/2023,Ropa,2,50,100
6/28/2023,Libros,8,20,160
1/12/2023,Electrónic,4,200,800
9/15/2023,Juguetes,6,30,180
12/3/2023,Ropa,6,50,300
6/15/2023,Electrónic,5,200,1000
12/9/2023,Electrónic,4,200,800
5/3/2023,Alimentos,8,10,80
7/2/2023,Juguetes,4,30,120
12/18/2023,Libros,5,20,100
8/6/2023,Electrónic,6,200,1200
6/15/2023,Alimentos,10,10,100
8/25/2023,Juguetes,1,30,30
8/11/2023,Juguetes,1,30,30
1/30/2023,Electrónic,10,200,2000
6/5/2023,Electrónic,6,200,1200
6/12/2023,Electrónic,1,200,200
4/26/2023,Electrónic,7,200,1400
7/9/2023,Ropa,7,50,350
7/30/2023,Ropa,5,50,250
10/19/2023,Libros,5,20,100
11/9/2023,Juguetes,7,30,210
11/13/2023,Electrónic,9,200,1800
7/14/2023,Electrónic,8,200,1600
1/2/2023,Electrónic,5,200,1000
5/20/2023,Juguetes,3,30,90
1/5/2023,Alimentos,8,10,80
1/2/2023,Libros,10,20,200
12/24/2023,Ropa,8,50,400
2/24/2023,Juguetes,1,30,30
8/12/2023,Libros,2,20,40
1/21/2023,Ropa,3,50,150
1/9/2023,Alimentos,9,10,90
7/30/2023,Juguetes,1,30,30
7/20/2023,Electrónic,9,200,1800
3/5/2023,Alimentos,2,10,20
8/9/2023,Juguetes,2,30,60
12/11/2023,Alimentos,6,10,60
5/22/2023,Libros,1,20,20
7/22/2023,Electrónic,5,200,1000
6/3/2023,Libros,1,20,20
9/2/2023,Juguetes,5,30,150
8/12/2023,Alimentos,10,10,100
7/14/2023,Ropa,10,50,500
10/12/2023,Alimentos,3,10,30
5/25/2023,Libros,9,20,180
9/15/2023,Libros,3,20,60
1/18/2023,Ropa,10,50,500
1/25/2023,Ropa,10,50,500
